Holder,Common Stock Equivalent Held (actual),Percent of Common Shares Outstanding,Market Value ($M),Change in Shares (actual),Change (%),Position Date,Source,Portfolio Turnover Category,Portfolio Turnover (%),Investment Orientation,Equity Assets ($M),City,State,Country,Calculated Investment Style,Calculated Market Cap Emphasis,Owner Type,Funds,Derivatives Ex. 60 Days
Washington Trust Bank,"201,415",0.00,28.8,"(7,539)",(3.61),9/30/22,13F,Very Low  ,17.95,Active    ,664.12,Spokane,WA,USA,Growth,Large Cap ,Family Offices/Trusts,,
The Rockland Trust Investment Management Group,"201,346",0.00,28.8,"(1,039)",(0.51),12/31/22,13F,Very Low  ,17.96,Active    ,"1,219.87",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Silicon Valley Capital Partners L.P.,"201,346",0.00,28.8,"9,682",5.05,9/30/22,13F,Low       ,34.00,Active    ,147.20,San Jose,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Dundas Partners LLP,"201,318",0.00,28.8,0,,9/30/22,13F,Very Low  ,8.46,Active    ,"1,037.14",Edinburgh,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,,
Progressive Investment Management Corp.,"200,707",0.00,28.7,"1,752",0.88,12/31/22,13F,Very Low  ,4.80,Active    ,274.45,Lake Oswego,OR,USA,Growth,Large Cap ,Traditional Investment Managers,,
First American Trust FSB,"200,697",0.00,28.7,"6,653",3.43,12/31/22,13F,Low       ,27.16,Active    ,498.97,Santa Ana,CA,USA,Blend,Large Cap ,Family Offices/Trusts,,
Salient Partners L.P,"200,249",0.00,28.6,0,,12/31/22,13F,Moderate  ,54.08,Active    ,"1,053.24",Houston,TX,USA,Growth,Large Cap ,Family Offices/Trusts,,
JLB & Associates Inc.,"200,139",0.00,28.6,"(6,148)",(2.98),12/31/22,13F,Very Low  ,4.73,Active    ,633.92,Plymouth,MI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Fort Sheridan Advisors LLC,"199,920",0.00,28.6,590,0.30,9/30/22,13F,Very Low  ,6.63,Active    ,298.16,Highland Park,IL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Legacy Pvt. Trust Co.,"199,562",0.00,28.5,"(4,737)",(2.32),12/31/22,13F,Low       ,26.61,Active    ,364.10,Neenah,WI,USA,Growth,Large Cap ,Family Offices/Trusts,,
Sandbox Financial Partners LLC,"199,438",0.00,28.5,"(3,715)",(1.83),12/31/22,13F,Low       ,22.49,Active    ,80.47,Bethesda,MD,USA,Growth,Large Cap ,Family Offices/Trusts,,
Chicago Partners Investment Group LLC,"199,381",0.00,28.5,"5,429",2.80,9/30/22,13F,Very Low  ,16.59,Active    ,610.53,Chicago,IL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Ithaka Group LLC,"199,299",0.00,28.5,"(3,993)",(1.96),9/30/22,13F,Very Low  ,13.97,Active    ,533.12,Bethesda,MD,USA,Growth,Large Cap ,Traditional Investment Managers,,
Evoke Wealth LLC,"199,087",0.00,28.5,"1,193",0.60,9/30/22,13F,Very Low  ,16.06,Active    ,625.12,Los Angeles,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Greatmark Investment Partners Inc.,"198,936",0.00,28.4,"(3,160)",(1.56),12/31/22,13F,Very Low  ,11.32,Active    ,551.90,Columbus,GA,USA,GARP,Large Cap ,Traditional Investment Managers,,
SP Asset Management LLC,"198,857",0.00,28.4,193,0.10,9/30/22,13F,Very Low  ,10.69,Active    ,526.32,Cupertino,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Elite Wealth Management Inc.,"198,210",0.00,28.3,"(3,664)",(1.82),9/30/22,13F,Low       ,22.37,Active    ,178.58,Kirkland,WA,USA,Growth,Large Cap ,Traditional Investment Managers,,
BancorpSouth Investment Services Inc.,"197,884",0.00,28.3,"73,257",58.78,9/30/22,13F,Very Low  ,11.92,Active    ,893.26,Jackson,MS,USA,GARP,Large Cap ,Traditional Investment Managers,,
Oxbow Advisors LLC,"197,869",0.00,28.3,"(2,843)",(1.42),9/30/22,13F,Low       ,35.83,Active    ,425.09,Austin,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
Anchor Capital Advisors LLC,"197,699",0.00,28.3,"(15,085)",(7.09),9/30/22,13F,Low       ,22.91,Active    ,"3,877.04",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Trust Co. of Toledo NA,"197,644",0.00,28.3,"(1,815)",(0.91),12/31/22,13F,Very Low  ,4.62,Active    ,421.50,Holland,OH,USA,Growth,Large Cap ,Family Offices/Trusts,,
Balasa Dinverno Foltz LLC,"197,373",0.00,28.2,"15,420",8.48,9/30/22,13F,Very Low  ,10.84,Active    ,350.61,Itasca,IL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Mizuho Financial Group Inc.,"196,589",0.00,28.1,"182,865","1,332.45",9/30/22,13F,Low       ,25.96,Active    ,"3,798.07",Tokyo,,Japan,Growth,Large Cap ,Traditional Investment Managers,,
CA Indosuez Wealth (Asset Management),"196,551",0.00,28.1,0,,6/30/22,Aggregated Mutual Funds,Low       ,31.84,Active    ,365.85,Luxembourg City,,Luxembourg,Growth,Large Cap ,Traditional Investment Managers,1,
Woodmont Investment Counsel LLC,"196,434",0.00,28.1,449,0.23,9/30/22,13F,Very Low  ,7.37,Active    ,438.99,Nashville,TN,USA,Growth,Large Cap ,Traditional Investment Managers,,
Saybrook Capital Corp,"195,931",0.00,28.0,"(4,320)",(2.16),9/30/22,13F,Very Low  ,3.33,Active    ,310.15,Sag Harbor,NY,USA,Blend,Large Cap ,Traditional Investment Managers,,
Grove Bank & Trust,"195,865",0.00,28.0,"67,795",52.94,9/30/22,13F,Very Low  ,5.47,Active    ,212.25,Miami,FL,USA,Growth,Large Cap ,Family Offices/Trusts,,
M&R Capital Management Inc.,"195,482",0.00,28.0,"(4,236)",(2.12),12/31/22,13F,Very Low  ,9.23,Active    ,351.27,Summit,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,,
1st Source Corp. Investment Advisors Inc.,"195,447",0.00,27.9,"4,430",2.32,9/30/22,13F,Very Low  ,8.21,Active    ,533.02,South Bend,IN,USA,Blend,Large Cap ,Traditional Investment Managers,,
PEH Wertpapier AG,"195,250",0.00,27.9,"(4,800)",(2.40),9/30/22,Aggregated Mutual Funds,Low       ,31.57,Active    ,"1,035.07",Frankfurt am Main,,Germany,Blend,Large Cap ,Traditional Investment Managers,8,
Naventi Kapitalforvalting AB,"195,218",0.00,27.9,0,,6/30/22,Aggregated Mutual Funds,Low       ,21.57,Active    ,911.32,Uppsala,,Sweden,Growth,Large Cap ,Traditional Investment Managers,3,
Hilltop Holdings Inc.,"194,880",0.00,27.9,"3,958",2.07,9/30/22,13F,Moderate  ,66.70,Active    ,390.93,Dallas,TX,USA,Growth,Large Cap ,Banks/Investment Banks,,
Executive Wealth Management LLC,"194,306",0.00,27.8,0,,6/30/22,13F,Low       ,37.77,Active    ,297.16,Brighton,MI,USA,Growth,Large Cap ,Family Offices/Trusts,,
Csenge Advisory Group LLC,"193,841",0.00,27.7,(123),(0.06),9/30/22,13F,Low       ,34.61,Active    ,350.59,Clearwater,FL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Westchester Capital Management Inc.,"193,806",0.00,27.7,(327),(0.17),9/30/22,13F,Very Low  ,4.00,Active    ,351.34,Omaha,NE,USA,Blend,Large Cap ,Traditional Investment Managers,,
KEPLER-FONDS Kapitalanlagegesellschaft m.b.H,"192,477",0.00,27.5,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,19.72,Active    ,"1,577.09",Linz,,Austria,Growth,Large Cap ,Traditional Investment Managers,4,
Hilton Capital Management LLC,"192,149",0.00,27.5,"(2,990)",(1.53),9/30/22,13F,Moderate  ,67.02,Active    ,348.56,Garden City,NY,USA,Blend,Large Cap ,Traditional Investment Managers,1,
Condor Capital Management,"191,834",0.00,27.4,"1,545",0.81,9/30/22,13F,Very Low  ,13.93,Active    ,266.54,Martinsville,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,,
K.J. Harrison & Partners Inc.,"191,565",0.00,27.4,"(20,524)",(9.68),12/31/22,13F,Low       ,45.08,Active    ,"13,446.88",Toronto,ON,Canada,Blend,Large Cap ,Traditional Investment Managers,,
LUKB Expert Fondsleitung AG,"191,500",0.00,27.4,"53,560",38.83,7/31/22,Aggregated Mutual Funds,Very Low  ,17.03,Active    ,"2,216.83",Luzern,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,9,
SignalPoint Asset Management LLC,"191,073",0.00,27.3,"10,407",5.76,12/31/22,13F,Very Low  ,12.46,Active    ,149.92,Springfield,MO,USA,Growth,Large Cap ,Traditional Investment Managers,,
Simon Quick Advisors LLC,"190,920",0.00,27.3,"19,697",11.50,12/31/22,13F,Low       ,29.50,Active    ,151.38,Morristown,NJ,USA,Blend,Large Cap ,Traditional Investment Managers,,
Smithfield Trust Co.,"190,811",0.00,27.3,"(1,846)",(0.96),9/30/22,13F,Very Low  ,19.77,Active    ,385.45,Pittsburgh,PA,USA,Growth,Large Cap ,Banks/Investment Banks,,
Monetary Management Group Inc.,"190,652",0.00,27.3,"(10,395)",(5.17),9/30/22,13F,Very Low  ,14.82,Active    ,312.25,St Louis,MO,USA,Growth,Large Cap ,Traditional Investment Managers,,
Sargent Investment Group LLC,"190,467",0.00,27.2,"4,605",2.48,9/30/22,13F,Low       ,20.49,Active    ,267.44,Bethesda,MD,USA,Growth,Large Cap ,Family Offices/Trusts,,
Nicollet Investment Management Inc.,"190,394",0.00,27.2,"(2,240)",(1.16),9/30/22,13F,Very Low  ,8.22,Active    ,181.61,Minneapolis,MN,USA,Growth,Large Cap ,Traditional Investment Managers,,
First Financial Bank,"190,349",0.00,27.2,"(1,018)",(0.53),12/31/22,13F,,,Active    ,541.59,Cincinnati,OH,USA,Blend,Large Cap ,Banks/Investment Banks,,
CIGNA Investments Inc.,"190,002",0.00,27.2,"(9,951)",(4.98),9/30/22,13F,Very Low  ,11.33,Active    ,443.79,Bloomfield,CT,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Wittenberg Investment Management Inc,"189,995",0.00,27.2,"(1,126)",(0.59),9/30/22,13F,Very Low  ,9.92,Active    ,264.98,Carlisle,MA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Woodstock Corp.,"189,412",0.00,27.1,"(1,730)",(0.91),12/31/22,13F,Very Low  ,4.73,Active    ,728.77,Boston,MA,USA,Growth,Large Cap ,Family Offices/Trusts,,
GHP Investment Advisors Inc.,"189,114",0.00,27.0,"3,103",1.67,9/30/22,13F,Very Low  ,8.45,Active    ,"1,069.44",Denver,CO,USA,Growth,Large Cap ,Family Offices/Trusts,,
Hunter Associates Investment Management LLC,"188,934",0.00,27.0,"1,164",0.62,9/30/22,13F,Very Low  ,16.78,Active    ,377.67,Pittsburgh,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Octavia Wealth Advisors LLC,"188,724",0.00,27.0,"(3,603)",(1.87),12/31/22,13F,Low       ,32.10,Active    ,126.55,Cincinnati,OH,USA,Growth,Large Cap ,Family Offices/Trusts,,
TBH Global Asset Management LLC,"188,686",0.00,27.0,"(3,997)",(2.07),9/30/22,13F,Low       ,28.02,Active    ,174.22,Brentwood,TN,USA,Growth,Large Cap ,Family Offices/Trusts,,
Ropes Wealth Advisors LLC,"188,428",0.00,26.9,"(1,258)",(0.66),9/30/22,13F,Very Low  ,17.08,Active    ,382.25,Boston,MA,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
River Wealth Advisors LLC,"188,154",0.00,26.9,"(9,721)",(4.91),9/30/22,13F,Very Low  ,5.08,Active    ,356.77,Camp Hill,PA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Brightworth Private Wealth Counsel,"187,706",0.00,26.8,"1,124",0.60,9/30/22,13F,Very Low  ,9.14,Active    ,420.41,Atlanta,GA,USA,Growth,Large Cap ,Traditional Investment Managers,,
RNC Capital Management LLC,"187,449",0.00,26.8,"4,071",2.22,12/31/22,13F,Low       ,22.86,Active    ,"1,697.69",Los Angeles,CA,USA,GARP,Large Cap ,Traditional Investment Managers,,
Pallas Capital Advisors LLC,"187,437",0.00,26.8,"(2,734)",(1.44),12/31/22,13F,,,Active    ,648.67,Braintree,MA,USA,Growth,Large Cap ,Family Offices/Trusts,,
WP Advisors LLC,"187,390",0.00,26.8,(587),(0.31),12/31/22,13F,Low       ,27.52,Active    ,164.42,San Francisco,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Foundations Investment Advisors LLC,"187,221",0.00,26.8,"64,618",52.71,12/31/22,13F,Moderate  ,56.30,Active    ,356.30,Phoenix,AZ,USA,Growth,Large Cap ,Traditional Investment Managers,,
Regent Investment Management LLC,"187,159",0.00,26.8,"(3,608)",(1.89),12/31/22,13F,Very Low  ,8.82,Active    ,379.28,Louisville,KY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Secure Asset Management LLC,"187,002",0.00,26.7,"4,054",2.22,12/31/22,13F,Low       ,44.70,Active    ,127.58,Troy,MI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Cape Cod Five Trust and Asset Management,"186,626",0.00,26.7,"(4,745)",(2.48),9/30/22,13F,Very Low  ,13.05,Active    ,451.61,Orleans,MA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Montis Financial LLC,"186,450",0.00,26.7,"7,544",4.22,9/30/22,13F,,,Active    ,57.14,Waltham,MA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Bank of Hawaii,"186,255",0.00,26.6,"1,669",0.90,12/31/22,13F,Very Low  ,12.80,Active    ,373.39,Honolulu,HI,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Taikang Asset Management (Hong Kong) Co. Ltd.,"186,230",0.00,26.6,"30,230",19.38,9/30/22,13F,Low       ,46.51,Active    ,544.53,Wan Chai,,Hong Kong,Growth,Large Cap ,Traditional Investment Managers,,
TrinityPoint Wealth LLC,"186,060",0.00,26.6,(8),(0.00),9/30/22,13F,Low       ,25.30,Active    ,311.56,Milford,CT,USA,Growth,Large Cap ,Traditional Investment Managers,,
Christian Brothers Investment Services Inc.,"186,005",0.00,26.6,"15,127",8.85,10/31/22,Aggregated Mutual Funds,,,Active    ,735.51,Chicago,IL,USA,Growth,Large Cap ,Traditional Investment Managers,1,
TCV Trust & Wealth Management,"185,923",0.00,26.6,"(1,886)",(1.00),9/30/22,13F,Very Low  ,7.11,Active    ,628.88,Richmond,VA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Nixon Peabody Financial Advisors LLC,"185,232",0.00,26.5,"(127,499)",(40.77),9/30/22,Aggregated 13F,Very Low  ,11.77,Active    ,484.95,Rochester,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Capital Investment Advisory Services LLC,"185,047",0.00,26.5,"1,161",0.63,9/30/22,13F,Low       ,37.92,Active    ,320.63,Raleigh,NC,USA,Growth,Large Cap ,Traditional Investment Managers,,
GFS Advisors LLC,"184,469",0.00,26.4,72,0.04,12/31/22,13F,Low       ,25.33,Active    ,287.35,Houston,TX,USA,Blend,Large Cap ,Traditional Investment Managers,,
L.M. Kohn & Co.,"184,384",0.00,26.4,"(1,665)",(0.90),9/30/22,13F,,,Active    ,149.48,Cincinnati,OH,USA,Growth,Large Cap ,Family Offices/Trusts,,
Cabot Wealth Management,"184,212",0.00,26.3,"(1,049)",(0.57),9/30/22,13F,Very Low  ,19.49,Active    ,490.16,Salem,MA,USA,Blend,Large Cap ,Family Offices/Trusts,,
Linscomb & Williams Inc,"184,081",0.00,26.3,"2,900",1.60,9/30/22,13F,Very Low  ,6.92,Active    ,780.18,Houston,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
Close Asset Management Ltd.,"184,051",0.00,26.3,"(28,882)",(13.56),12/31/22,13F,Very Low  ,16.61,Active    ,"8,818.84",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,,
Truwealth Advisors LLC,"183,382",0.00,26.2,"2,947",1.63,12/31/22,13F,Low       ,27.41,Active    ,396.36,Metairie,LA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Graves-Light Pvt. Wealth Management Inc.,"183,318",0.00,26.2,(511),(0.28),9/30/22,13F,Very Low  ,9.59,Active    ,199.57,Harrisonburg,VA,USA,Blend,Large Cap ,Family Offices/Trusts,,
Peachtree Investment Partners LLC,"183,255",0.00,26.2,"3,387",1.88,9/30/22,13F,Low       ,21.35,Active    ,154.28,Vero Beach,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
D.L. Carlson Investment Group Inc.,"183,175",0.00,26.2,"(3,798)",(2.03),9/30/22,13F,Moderate  ,50.80,Active    ,430.40,Concord,NH,USA,Growth,Large Cap ,Traditional Investment Managers,,
Campbell Capital Management Inc.,"183,071",0.00,26.2,"(1,260)",(0.68),12/31/22,13F,Low       ,36.29,Active    ,104.88,Miami,FL,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Modera Wealth Management LLC,"182,870",0.00,26.2,"(4,809)",(2.56),9/30/22,13F,Very Low  ,14.69,Active    ,267.04,Boston,MA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Cadinha & Co LLC,"182,683",0.00,26.1,"(4,808)",(2.56),12/31/22,13F,Moderate  ,87.40,Active    ,413.69,Honolulu,HI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Penobscot Investment Management Co. Inc.,"182,522",0.00,26.1,497,0.27,9/30/22,13F,Very Low  ,8.82,Active    ,535.22,Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Marietta Investment Partners LLC,"182,346",0.00,26.1,"(4,146)",(2.22),9/30/22,13F,Low       ,33.34,Active    ,358.27,Milwaukee,WI,USA,Growth,Large Cap ,Traditional Investment Managers,,
One Wealth Advisors LLC,"182,153",0.00,26.0,"1,115",0.62,9/30/22,13F,Moderate  ,51.30,Active    ,88.67,San Francisco,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Thames Capital Management LLC,"181,820",0.00,26.0,0,,9/30/22,13F,Moderate  ,77.88,Active    ,227.13,New York,NY,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Alerus Financial Corp.,"181,053",0.00,25.9,"(1,804)",(0.99),9/30/22,13F,Low       ,42.72,Active    ,606.00,Grand Forks,ND,USA,Blend,Large Cap ,Traditional Investment Managers,,
Malone Capital Advisors LLC,"180,265",0.00,25.8,"6,235",3.58,12/31/22,13F,Low       ,21.56,Active    ,181.11,La Jolla,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
KCS Wealth Advisory LLC,"180,202",0.00,25.8,"1,926",1.08,9/30/22,13F,Low       ,27.21,Active    ,162.17,Los Angeles,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Westwood Wealth Management,"180,089",0.00,25.8,"(7,932)",(4.22),9/30/22,13F,,,Active    ,77.37,Los Angeles,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Coastal Investment Advisors Inc.,"180,027",0.00,25.7,"(1,855)",(1.02),9/30/22,13F,Low       ,31.12,Active    ,276.37,Wilmington,DE,USA,Growth,Large Cap ,Family Offices/Trusts,,
Naples Global Advisors LLC,"180,000",0.00,25.7,"(2,415)",(1.32),12/31/22,13F,Very Low  ,9.48,Active    ,609.34,Naples,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Belmont Capital LLC,"179,859",0.00,25.7,350,0.20,9/30/22,13F,Very Low  ,8.90,Active    ,72.40,Los Angeles,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Harvest Portfolios Group Inc.,"179,518",0.00,25.7,(545),(0.30),12/31/22,Aggregated Mutual Funds,Low       ,31.54,Active    ,"1,922.42",Oakville,ON,Canada,Growth,Large Cap ,Traditional Investment Managers,2,
ICA Group Wealth Management LLC,"179,309",0.00,25.6,"3,802",2.17,9/30/22,13F,,,Active    ,265.52,Denver,CO,USA,Growth,Large Cap ,Corporations (Private),,
Lyell Wealth Management LP,"179,304",0.00,25.6,"(7,405)",(3.97),12/31/22,13F,Very Low  ,11.37,Active    ,576.64,Menlo Park,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
TE Ahumairangi Investment Management Ltd.,"179,233",0.00,25.6,"(34,310)",(16.07),9/30/22,13F,Very Low  ,18.14,Active    ,674.75,Wellington,,New Zealand,Blend,Large Cap ,Traditional Investment Managers,,
Locust Wood Capital Advisers LLC,"178,872",0.00,25.6,"(81,690)",(31.35),12/31/22,13F,Low       ,39.11,Active    ,"1,500.54",New York,NY,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Kiley Juergens Wealth Management LLC,"178,726",0.00,25.6,"(1,641)",(0.91),9/30/22,13F,Low       ,21.09,Active    ,176.09,Olympia,WA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Kredietrust Luxembourg SA,"178,464",0.00,25.5,0,,6/30/22,Aggregated Mutual Funds,Low       ,29.67,Active    ,829.59,Luxembourg,,Luxembourg,GARP,Large Cap ,Traditional Investment Managers,1,
Mechanics Bank,"178,136",0.00,25.5,(365),(0.20),12/31/22,13F,Very Low  ,8.60,Active    ,344.67,Walnut Creek,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Kayne Anderson Rudnick Investment Management LLC,"178,099",0.00,25.5,"13,141",7.97,9/30/22,13F,Very Low  ,16.10,Active    ,"37,255.98",Los Angeles,CA,USA,Growth,Multi Cap ,Traditional Investment Managers,,
Minot Wealth Management LLC,"177,892",0.00,25.4,0,,6/30/22,13F,Low       ,25.57,Active    ,309.84,Westwood,MA,USA,Growth,Large Cap ,Family Offices/Trusts,,
P. J. Schmidt Investment Management Inc.,"177,769",0.00,25.4,"(8,294)",(4.46),9/30/22,13F,Very Low  ,15.40,Active    ,352.35,Cedarburg,WI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Hartz Regehr & Partner GmbH,"177,700",0.00,25.4,0,,8/31/22,Aggregated Mutual Funds,Very Low  ,12.12,Active    ,865.98,München,,Germany,Blend,Large Cap ,Traditional Investment Managers,3,
Howland Capital Management LLC,"177,672",0.00,25.4,(255),(0.14),12/31/22,13F,Very Low  ,8.56,Active    ,"1,332.70",Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Checchi Capital Advisers LLC,"177,187",0.00,25.3,277,0.16,9/30/22,13F,Low       ,30.67,Active    ,456.12,Beverly Hills,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Pvt. Advisory Group LLC,"177,165",0.00,25.3,"4,476",2.59,9/30/22,13F,Moderate  ,66.52,Active    ,304.00,Redmond,WA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Burleson & Co. LLC,"177,036",0.00,25.3,"(5,811)",(3.18),9/30/22,13F,Low       ,34.30,Active    ,348.93,Petaluma,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Zhang Financial LLC,"177,014",0.00,25.3,"(17,522)",(9.01),12/31/22,13F,Very Low  ,11.12,Active    ,165.18,Portage,MI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Clarkston Capital Partners LLC,"176,747",0.00,25.3,"12,928",7.89,9/30/22,13F,Very Low  ,16.73,Active    ,"5,151.46",Bloomfield Hills,MI,USA,Blend,Multi Cap ,Traditional Investment Managers,,
Pictet North America Advisors SA,"176,725",0.00,25.3,"(11,131)",(5.93),9/30/22,13F,Very Low  ,19.72,Active    ,527.83,Geneva,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,,
Winning Points Advisors LLC,"176,124",0.00,25.2,"(16,741)",(8.68),9/30/22,13F,Low       ,22.58,Active    ,81.04,Boca Raton,FL,USA,Blend,Large Cap ,Traditional Investment Managers,1,
IFG Advisory LLC,"176,030",0.00,25.2,"35,779",25.51,9/30/22,13F,Low       ,27.95,Active    ,338.30,Atlanta,GA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Waters Parkerson & Co. LLC,"176,009",0.00,25.2,(24),(0.01),9/30/22,13F,Very Low  ,4.82,Active    ,"1,638.49",New Orleans,LA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Sargent Bickham Lagudis LLC,"175,576",0.00,25.1,"(1,274)",(0.72),12/31/22,13F,Low       ,21.43,Active    ,358.60,Boulder,CO,USA,Growth,Large Cap ,Traditional Investment Managers,,
SlateStone Wealth LLC,"175,275",0.00,25.1,"(8,136)",(4.44),9/30/22,13F,Low       ,24.98,Active    ,211.37,Jupiter,FL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Journey Advisory Group LLC,"175,238",0.00,25.1,"(3,645)",(2.04),9/30/22,13F,,,Active    ,276.83,Covington,KY,USA,Growth,Large Cap ,Family Offices/Trusts,,
Princeton Capital Management LLC,"175,110",0.00,25.0,"(4,454)",(2.48),9/30/22,13F,Very Low  ,8.55,Active    ,250.49,Red Bank,NJ,USA,Growth,Large Cap ,Traditional Investment Managers,,
Wahed Invest LLC,"175,085",0.00,25.0,"12,185",7.48,9/30/22,13F,Very Low  ,16.10,Active    ,204.75,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,1,
DNCA Finance,"175,065",0.00,25.0,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,19.08,Active    ,"10,440.47",Paris,,France,GARP,Large Cap ,Traditional Investment Managers,3,
Folger Nolan Fleming Douglas Inc.,"174,535",0.00,25.0,"1,561",0.90,12/31/22,13F,Very Low  ,3.20,Active    ,750.10,Washington,DC,USA,Growth,Large Cap ,Traditional Investment Managers,,
Krilogy Financial LLC,"174,384",0.00,24.9,"1,877",1.09,9/30/22,13F,Very Low  ,13.98,Active    ,203.49,St. Louis,MO,USA,Growth,Large Cap ,Traditional Investment Managers,,
Trust Asset Management LLC,"174,383",0.00,24.9,"11,273",6.91,9/30/22,13F,Very Low  ,7.11,Active    ,259.50,Houston,TX,USA,Growth,Large Cap ,Traditional Investment Managers,,
MUFG Securities EMEA PLC,"174,265",0.00,24.9,"(526,713)",(75.14),12/31/22,13F,Moderate  ,67.03,Active    ,"6,042.56",London,,United Kingdom,Blend,Large Cap ,Banks/Investment Banks,,
IPG Investment Advisors LLC,"174,257",0.00,24.9,"(4,499)",(2.52),9/30/22,13F,Moderate  ,63.81,Active    ,350.57,San Diego,CA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Goelzer Investment Management Inc.,"174,203",0.00,24.9,"(5,013)",(2.80),12/31/22,13F,Very Low  ,15.37,Active    ,765.65,Indianapolis,IN,USA,Blend,Large Cap ,Traditional Investment Managers,,
Rothschild Capital Partners LLC,"173,794",0.00,24.9,"(3,565)",(2.01),9/30/22,13F,Low       ,34.82,Active    ,133.25,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
Valley National Advisers Inc.,"173,563",0.00,24.8,"(1,481)",(0.85),12/31/22,13F,Low       ,25.91,Active    ,286.04,Bethlehem,PA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Anderson Hoagland & Co,"172,884",0.00,24.7,162,0.09,12/31/22,13F,Low       ,20.75,Active    ,322.50,Saint Louis,MO,USA,Growth,Large Cap ,Family Offices/Trusts,,
Capstone Financial Advisors Inc,"171,934",0.00,24.6,"(1,452)",(0.84),9/30/22,13F,Low       ,30.61,Active    ,151.66,Downers Grove,IL,USA,Blend,Large Cap ,Traditional Investment Managers,,
Guinness Asset Management Ltd.,"171,770",0.00,24.6,0,,12/31/21,Aggregated Mutual Funds,Very Low  ,7.66,Active    ,"4,297.69",London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,1,
Bourne Lent Asset Management Inc.,"171,627",0.00,24.5,"(4,279)",(2.43),12/31/22,13F,Very Low  ,1.90,Active    ,249.57,Pawling,NY,USA,Growth,Large Cap ,Traditional Investment Managers,,
